"id","ref_id","repository_name","repository_long_name","settlement","country","repository_url","worldcat_url","loc_url","dnb_url","viaf_url"
90,,Biblioteka Jagiellońska,"",Kraków,Poland,http://www.bj.uj.edu.pl/,"","","",""
91,,Biblioteka Uniwersytecka we Wrocławiu,"",Wrocław,Poland,http://www.bu.uni.wroc.pl/,"","","",""
92,,Universiteitsbibliotheek,"",Leiden,Netherlands,http://www.bibliotheek.leidenuniv.nl,"","","",""
93,,Universiteitsbibliotheek,"",Amsterdam,Netherlands,http://bijzonderecollecties.uva.nl/en,"","","",""
94,,Biblioteca Ambrosiana,"",Milan,Italy,http://www.ambrosiana.eu/,"","","",""
95,,Biblioteca Medicea Laurenziana,"",Florence,Italy,ttps://www.bmlonline.it,"","","",""
96,,Biblioteca Angelica,"",Rome,Italy,http://www.bibliotecaangelica.beniculturali.it/,"","","",""
97,,Khizāna Jāmiʿ al-Qarawiyyin,"",Fes,Morocco,http://www.alquaraouiyine.com/,"","","",""
98,,The Ḥasaniyya Library (Bibliothèque Royale),"",Rabat,Morocco,"","","","",""
99,,Université Saint Joseph,"",Beirut,Lebanon,http://www.bo.usj.edu.lb,"","","",""
100,,Archivio Abbaziale,"",Nonantola,Italy,"","","","",""
101,,Archivio Capitolare di Modena,"",Modena,Italy,"","","","",""
102,,Archivio Comunale,"",Nonantola,Italy,"","","","",""
103,,Archivio Capitolare di Modena,"",Modena,Italy,"","","","",""
104,,Biblioteca estense universitaria,"",Modena,Italy,http://bibliotecaestense.beniculturali.it,"","","",""
105,,Archivio di Stato,"",Imola,Italy,"","","","",""
106,,Biblioteca Arcescovile,"",Udine,Italy,http://www.diocesiudine.it/archivio_diocesano/00023874_Archivio_Diocesano.html,"","","",""
107,,Biblioteca Casanatense,"",Rome,Italy,"","","","",""
108,,Biblioteca Civica,"",Verona,Italy,"","","","",""
109,,Biblioteca Malatestiana,"",Cesena,Italy,"","","","",""
110,,Biblioteca Nazionale Universitaria,"",Turin,Italy,http://www.bnto.librari.beniculturali.it/,"","","",""
111,,Biblioteca Nazionale Centrale di Roma,"",Rome,Italy,http://www.bncrm.beniculturali.it/,"","","",""
112,,Comunita Israelitica,"",Mantova,Italy,"","","","",""
113,,Estense e universitaria,"",Modena,Italy,http://bibliotecaestense.beniculturali.it/,"","","",""
114,,Biblioteca Cateriniana del Seminario Arcivescovile,"",Pisa,Italy,http://www.biblioteca-cateriniana.pisa.it/,"","","",""
115,,Biblioteca Capitolare nella Curia Vescovile di Padova,"",Padua,Italy,http://bibliotecadigitale.cab.unipd.it/,"","","",""
116,,Biblioteca Civica Attilio Hortis,"",Trieste,Italy,http://www.bibliotecacivicahortis.it/,"","","",""
117,,Biblioteca Comunale,"",Fabriano,Italy,http://www.bibliotecafabriano.it/,"","","",""
118,,Biblioteca Comunale,"",Assisi,Italy,"","","","",""
119,,Biblioteca Comunale Ariostea,"",Ferrara,Italy,http://archibiblio.comune.fe.it/271/biblioteca-comunale-ariostea,"","","",""
120,,Biblioteca Comunale Classense,"",Ravenna,Italy,http://www.classense.ra.it/,"","","",""
121,,Biblioteca comunale degli Intronati,"",Siena,Italy,http://www.bibliotecasiena.it/,"","","",""
122,,Biblioteca Comunale dell'Archiginnasio,"",Bologna,Italy,http://www.archiginnasio.it/,"","","",""
123,,Biblioteca del Convento Domenicano della Minerva,"",Rome,Italy,"","","","",""
124,,Biblioteca estense universitaria,"",Modena,Italy,http://estense.cedoc.mo.it/,"","","",""
125,,Biblioteca Jacobilli e del Seminario,"",Foligno,Italy,http://www.jacobilli.it/,"","","",""
126,,Biblioteca Malatestiana,"",Cesena,Italy,http://www.malatestiana.it/,"","","",""
127,,Biblioteca Nazionale Centrale,"",Florence,Italy,http://www.bncf.firenze.sbn.it,"","","",""
128,,Biblioteca Nazionale,"",Naples,Italy,http://www.bnnonline.it/,"","","",""
129,,Biblioteca Nazionale Marciana,"",Venice,Italy,http://marciana.venezia.sbn.it/,"","","",""
130,,Biblioteca Oliveriana,"",Pesaro,Italy,http://www.oliveriana.pu.it/,"","","",""
131,,Biblioteca Ricardiana,"",Florence,Italy,http://www.riccardiana.firenze.sbn.it/,"","","",""
132,,Biblioteca Universitaria,"",Padua,Italy,http://www.bibliotecauniversitariapadova.it/,"","","",""
133,,Biblioteca Universitaria,"",Pavia,Italy,http://siba.unipv.it/buniversitaria/,"","","",""
134,,Biblioteca Universitaria,"",Bologna,Italy,http://www.bub.unibo.it/,"","","",""
135,,Bibliothèque Farnèse,"",Rome,Italy,http://www.efrome.it/bibliotheque.html,"","","",""
136,,La Biblioteca di Palazzo Campana,"",Osimo,Italy,http://www.istitutocampana.it/,"","","",""
137,,Pontificia Biblioteca Antoniana,"",Padua,Italy,http://biblioteca.antoniana.net/Benvenuti.html,"","","",""
138,,Meir Benayahu Collection,"",Jerusalem,Israel,"","",part of NLI?,"",""
139,,The National Library of Israel,"",Jerusalem,Israel,http://web.nli.org.il/,"","","",""
140,,Chester Beatty Library,"",Dublin,Ireland,http://www.cbl.ie/,"","","",""
141,,Kitābkhāna-i Markazī-i Dānishgāh (Central Library of Tehran University),"",Tehran,Iran,http://ut.ac.ir/en/page/781/central-library-and-documentation-center-of-the-university,"","","",""
142,,Kitābkhānah va Mūzih-i Millī-i Malik  (Malek Institute of Library and National Museum),"",Tehran,Iran,http://www.malekdlib.org/,"","","",""
143,,Dāʾirat al-maʿārif al-ʿuthmāniyya,"",Ḥaidarābād al-Dakan,India,"","","","",""
144,,Khuda Bakhsh Library (Oriental Public Library),"",Patna,India,http://kblibrary.bih.nic.in,"","","",""
145,,Maktaba al-Aṣafiyya,"",Ḥaidarābād al-Dakan,India,"","","","",""
146,,National Library of India (Buhar Library),"",Kolkata,India,http://www.nationallibrary.gov.in/nat_lib_stat/index2.html,"","","",""
147,,Magyar Tudomanyos Akademia,"",Budapest,Hungary,http://konyvtar.mta.hu/,"","","",""
148,,Orszagos Rabbikepzo Intezet Konyvtara,"",Budapest,Hungary,http://www.or-zse.hu/,"","","",""
149,,Central Library of Corvinus University (Budapesti Corvinus Egyetem Központi Könyvtár),"",Budapest,Hungary,http://www.lib.uni-corvinus.hu/eng,"","","",""
150,,The County Archive of Győr-Moson-Sopron (Győr-Moson-Sopron Megye Soproni Levéltára),"",Sopron,Hungary,www.gyormegy-arch.hu,"","","",""
151,,Staats- und Universitätsbibliothek,"",Göttingen,Germany,http://www.sub.uni-goettingen.de/,"","","",""
